t,mean_H2O,mean_CO2,mean_O2,mean_SUGAR,mean_ATP,mean_PROTEIN,mean_MITOGEN
361,0.982811,0.982422,0.982761,0.969609,1.901925,0.015752,0.028643
362,0.982813,0.982423,0.982759,0.969614,1.901825,0.015775,0.028614
363,0.982814,0.982424,0.982758,0.969619,1.901725,0.015799,0.028585
364,0.982815,0.982425,0.982757,0.96962,1.901625,0.015827,0.028556
365,0.982816,0.982426,0.982756,0.969625,1.901524,0.01585,0.028527
366,0.982817,0.982428,0.982755,0.969635,1.901424,0.015869,0.028499
367,0.982818,0.982429,0.982754,0.969645,1.901324,0.015887,0.02847
368,0.98282,0.98243,0.982752,0.969645,1.901224,0.015915,0.028441
369,0.982821,0.982431,0.982751,0.969646,1.901124,0.015944,0.028413
370,0.982822,0.982432,0.98275,0.969646,1.901023,0.015972,0.028384
